Measure 2 Condition:
0. +1: 334  +2: 68  +3: 56  +4: 45  +5: 45  +6: 44  +7: 43  +8: 41  +9: 41  +10: 41  +11: 42  +12: 41  +13: 40  +14: 43  +15: 40  +16: 42  +17: 41  +18: 42  +19: 42  +20: 41  -1: 53  -2: 50  -3: 48  -4: 47  -5: 46  -6: 46  -7: 45  -8: 45  -9: 44  -10: 44  -11: 44  -12: 44  -13: 43  -14: 43  -15: 43  -16: 43  -17: 43  -18: 42  -19: 42  -20: 42  
11. +1: 59991  +2: 59713  +3: 59700  +4: 59689  +5: 59688  +6: 59688  +7: 59686  +8: 59685  +9: 59685  +10: 59685  +11: 59686  +12: 59684  +13: 59684  +14: 59686  +15: 59684  +16: 59685  +17: 59684  +18: 59685  +19: 59685  +20: 59684  -1: 59696  -2: 59693  -3: 59690  -4: 59689  -5: 59688  -6: 59688  -7: 59687  -8: 59687  -9: 59688  -10: 59687  -11: 59686  -12: 59687  -13: 59686  -14: 59686  -15: 59686  -16: 59684  -17: 59686  -18: 59684  -19: 59685  -20: 59685  
12. +1: 65484  +2: 65205  +3: 65193  +4: 65181  +5: 65181  +6: 65180  +7: 65179  +8: 65178  +9: 65178  +10: 65178  +11: 65179  +12: 65177  +13: 65177  +14: 65179  +15: 65177  +16: 65178  +17: 65177  +18: 65178  +19: 65178  +20: 65177  -1: 65189  -2: 65186  -3: 65183  -4: 65182  -5: 65181  -6: 65181  -7: 65180  -8: 65180  -9: 65181  -10: 65180  -11: 65179  -12: 65180  -13: 65180  -14: 65180  -15: 65179  -16: 65178  -17: 65179  -18: 65178  -19: 65179  -20: 65178  
13. +1: 70986  +2: 70708  +3: 70695  +4: 70684  +5: 70683  +6: 70682  +7: 70681  +8: 70680  +9: 70679  +10: 70680  +11: 70681  +12: 70679  +13: 70678  +14: 70680  +15: 70679  +16: 70680  +17: 70679  +18: 70680  +19: 70679  +20: 70679  -1: 70690  -2: 70687  -3: 70685  -4: 70684  -5: 70682  -6: 70683  -7: 70682  -8: 70682  -9: 70682  -10: 70681  -11: 70680  -12: 70681  -13: 70680  -14: 70680  -15: 70680  -16: 70679  -17: 70680  -18: 70679  -19: 70680  -20: 70679  
14. +1: 76541  +2: 76262  +3: 76249  +4: 76238  +5: 76237  +6: 76237  +7: 76235  +8: 76234  +9: 76234  +10: 76234  +11: 76235  +12: 76233  +13: 76232  +14: 76235  +15: 76233  +16: 76234  +17: 76233  +18: 76234  +19: 76234  +20: 76233  -1: 76244  -2: 76241  -3: 76239  -4: 76238  -5: 76236  -6: 76237  -7: 76236  -8: 76236  -9: 76237  -10: 76236  -11: 76234  -12: 76235  -13: 76235  -14: 76235  -15: 76234  -16: 76233  -17: 76234  -18: 76233  -19: 76234  -20: 76233  
15. +1: 82063  +2: 81785  +3: 81772  +4: 81761  +5: 81760  +6: 81759  +7: 81758  +8: 81757  +9: 81756  +10: 81757  +11: 81758  +12: 81756  +13: 81755  +14: 81757  +15: 81756  +16: 81757  +17: 81756  +18: 81757  +19: 81756  +20: 81756  -1: 81767  -2: 81764  -3: 81762  -4: 81761  -5: 81759  -6: 81760  -7: 81759  -8: 81759  -9: 81759  -10: 81758  -11: 81757  -12: 81758  -13: 81758  -14: 81758  -15: 81757  -16: 81756  -17: 81757  -18: 81756  -19: 81757  -20: 81756  
16. +1: 87573  +2: 87294  +3: 87281  +4: 87270  +5: 87270  +6: 87269  +7: 87268  +8: 87266  +9: 87266  +10: 87266  +11: 87267  +12: 87266  +13: 87265  +14: 87267  +15: 87265  +16: 87266  +17: 87265  +18: 87266  +19: 87265  +20: 87265  -1: 87277  -2: 87273  -3: 87271  -4: 87270  -5: 87269  -6: 87269  -7: 87268  -8: 87268  -9: 87269  -10: 87268  -11: 87267  -12: 87268  -13: 87267  -14: 87267  -15: 87266  -16: 87265  -17: 87266  -18: 87265  -19: 87266  -20: 87265  
17. +1: 93047  +2: 92768  +3: 92756  +4: 92745  +5: 92744  +6: 92743  +7: 92742  +8: 92741  +9: 92740  +10: 92741  +11: 92742  +12: 92740  +13: 92739  +14: 92741  +15: 92740  +16: 92741  +17: 92740  +18: 92741  +19: 92740  +20: 92740  -1: 92751  -2: 92748  -3: 92746  -4: 92745  -5: 92743  -6: 92744  -7: 92743  -8: 92743  -9: 92743  -10: 92742  -11: 92741  -12: 92742  -13: 92741  -14: 92741  -15: 92741  -16: 92740  -17: 92741  -18: 92740  -19: 92741  -20: 92740  
18. +1: 98095  +2: 97817  +3: 97804  +4: 97793  +5: 97793  +6: 97792  +7: 97791  +8: 97789  +9: 97788  +10: 97789  +11: 97790  +12: 97789  +13: 97787  +14: 97790  +15: 97788  +16: 97789  +17: 97788  +18: 97789  +19: 97788  +20: 97788  -1: 97799  -2: 97796  -3: 97794  -4: 97793  -5: 97792  -6: 97792  -7: 97791  -8: 97791  -9: 97792  -10: 97790  -11: 97789  -12: 97790  -13: 97790  -14: 97790  -15: 97789  -16: 97788  -17: 97789  -18: 97788  -19: 97789  -20: 97788  
19. +1: 102997  +2: 102718  +3: 102706  +4: 102694  +5: 102694  +6: 102693  +7: 102692  +8: 102691  +9: 102690  +10: 102691  +11: 102692  +12: 102690  +13: 102689  +14: 102691  +15: 102689  +16: 102691  +17: 102690  +18: 102691  +19: 102690  +20: 102690  -1: 102701  -2: 102698  -3: 102695  -4: 102694  -5: 102693  -6: 102693  -7: 102693  -8: 102692  -9: 102693  -10: 102692  -11: 102691  -12: 102692  -13: 102691  -14: 102691  -15: 102691  -16: 102690  -17: 102691  -18: 102690  -19: 102690  -20: 102690  
20. +1: 107645  +2: 107366  +3: 107354  +4: 107343  +5: 107342  +6: 107341  +7: 107340  +8: 107339  +9: 107336  +10: 107339  +11: 107339  +12: 107338  +13: 107337  +14: 107339  +15: 107337  +16: 107339  +17: 107338  +18: 107339  +19: 107338  +20: 107338  -1: 107349  -2: 107346  -3: 107343  -4: 107343  -5: 107341  -6: 107341  -7: 107341  -8: 107340  -9: 107341  -10: 107340  -11: 107339  -12: 107340  -13: 107340  -14: 107340  -15: 107339  -16: 107338  -17: 107339  -18: 107337  -19: 107339  -20: 107338  
